62,100,55
43,44,45
33,64,98
97,27,56
73,68,68
65,21,98
70,84,33
16,32,47
22,74,77
8,99,39
51,98,50
29,60,91
54,20,75
67,2,73
89,65,3
13,13,19
56,22,97
41,36,28
44,75,54
90,50,91
63,85,50
59,31,4
40,37,100
98,91,2
85,49,96
68,58,31
9,40,44
72,61,0
14,34,0
45,12,97
17,62,5
30,48,30
93,23,61
56,62,11
27,100,6
57,78,19
27,4,80
6,44,10
8,92,15
54,46,32
50,81,41
36,71,93
92,33,7
11,14,40
69,87,95
20,15,4
41,42,93
97,26,0
87,63,42
72,70,72
22,33,98
54,70,25
30,46,42
15,78,40
89,73,15
59,70,99
40,70,77
31,15,88
35,73,81
86,11,10
35,73,21
34,34,90
14,80,17
12,9,73
30,68,71
2,26,24
59,23,95
29,71,17
62,64,88
51,8,68
69,8,33
75,33,3
64,53,75
47,15,74
76,35,31
80,3,84
35,24,65
38,37,55
42,23,76
59,24,43
97,65,61
50,89,39
51,2,41
61,80,29
54,24,26
82,50,74
23,56,22
13,35,41
57,9,0
37,82,34
87,100,24
61,94,89
29,74,27
14,65,45
42,41,68
66,57,77
15,36,25
18,10,19
13,12,41
82,35,94
